1346,2,2,1552
1346edt,2,2,1554
135,4,3,1556
13500,1,1,1559
1358,1,1,1560
1358edt,1,1,1561
1359,1,1,1562
137,1,1,1563
137000,1,1,1564
1389,1,1,1565
1393,1,1,1566
13th,6,5,1567
14,52,38,1572
140,1,1,1610
1400,1,1,1611
140200,1,1,1612
1402edt,1,1,1613
142500,1,1,1614
1425est,1,1,1615
142600,1,1,1616
1426est,1,1,1617
142700,1,1,1618
1427est,1,1,1619
143,1,1,1620
1430,2,1,1621
143000,1,1,1622
1430est,1,1,1623
145100,1,1,1624
1451est,1,1,1625
1461,1,1,1626
14th,1,1,1627
15,64,46,1628
150,16,15,1674
1500,3,3,1689
15000,5,4,1692
150000,3,3,1696
1500edt,1,1,1699
150200,1,1,1700
1502est,1,1,1701
150300,1,1,1702
1503est,1,1,1703
150400,1,1,1704
1504est,1,1,1705
151,1,1,1706
151100,1,1,1707
1511est,1,1,1708
152,3,3,1709
153000,1,1,1712
1530est,1,1,1713
1534,1,1,1714
1540,1,1,1715
1540edt,1,1,1716
1541,1,1,1717
1541est,1,1,1718
1542,1,1,1719
154600,1,1,1720
1546edt,1,1,1721
154700,1,1,1722
1547edt,1,1,1723
154900,1,1,1724
1549est,1,1,1725
155,3,3,1726
155000,2,2,1729
155400,1,1,1731
1554est,1,1,1732
156,3,2,1733
15700,1,1,1735
159,1,1,1736
15th,3,2,1737
15thld,1,1,1739
16,61,43,1740
160,3,3,1783
1600,2,2,1786
160000,2,2,1788
1600edt,1,1,1790
1601,1,1,1791
160100,1,1,1792
1601edt,1,1,1793
1601est,1,1,1794
161,2,2,1795
1610,1,1,1797
1610est,1,1,1798
162,7,6,1799
162400,1,1,1805
1624edt,1,1,1806
162500,2,2,1807
1625est,2,2,1809
163400,1,1,1811
1634edt,1,1,1812
164100,1,1,1813
1641est,1,1,1814
1646,1,1,1815
1646est,1,1,1816
1647,1,1,1817
1647edt,1,1,1818
164900,1,1,1819
1649est,1,1,1820
165800,1,1,1821
1658edt,1,1,1822
165900,1,1,1823
1659est,1,1,1824
1667,1,1,1825
167,5,5,1826
168,1,1,1831
1682882,2,2,1832
17,78,53,1834
170,1,1,1887
17000,1,1,1888
170300,1,1,1889
1703est,1,1,1890
170900,1,1,1891
1709est,1,1,1892
171600,1,1,1893
1716est,1,1,1894
1722,1,1,1895
1722edt,1,1,1896
1724,1,1,1897
173,2,2,1898
1735edt,1,1,1900
174,1,1,1901
1741,1,1,1902
1741edt,1,1,1903
1742edt,1,1,1904
174400,1,1,1905
1744edt,1,1,1906
1749,2,2,1907
1749edt,1,1,1909
1749est,1,1,1910
1750,2,2,1911
1750edt,1,1,1913
175100,1,1,1914
1751edt,1,1,1915
1752,2,2,1916
1752edt,1,1,1918
1752est,1,1,1919
1755,1,1,1920
175500,1,1,1921
1755edt,1,1,1922
1757,1,1,1923
175700,1,1,1924
1757edt,2,2,1925
176,4,4,1927
177,2,2,1931
17th,4,4,1933
18,77,52,1937
180,2,2,1989
1800,1,1,1991
18000,1,1,1992
180000,1,1,1993
1801,1,1,1994
1801edt,1,1,1995
1807,1,1,1996
1807edt,2,2,1997
1808,2,2,1999
1808est,2,2,2001
1819,1,1,2003
1819est,1,1,2004
182,3,3,2005
1821,1,1,2008
1826,1,1,2009
1826est,1,1,2010
18295,1,1,2011
1830,2,2,2012
1830edt,1,1,2014
1831,1,1,2015
1831est,1,1,2016
1833,1,1,2017
1833edt,1,1,2018
1837,1,1,2019
1837est,1,1,2020
1843,1,1,2021
1843est,1,1,2022
1845,1,1,2023
1845est,1,1,2024
1849,1,1,2025
1849edt,1,1,2026
185,1,1,2027
1858,1,1,2028
1858edt,1,1,2029
1859,1,1,2030
1859edt,1,1,2031
186,1,1,2032
1865,1,1,2033
187,1,1,2034
1890,1,1,2035
18th,5,3,2036
18thld,2,2,2039
19,24,17,2041
190,2,2,2058
1900,4,4,2060
19000,2,2,2064
1902,1,1,2066
1902est,1,1,2067
1909,1,1,2068
1909est,1,1,2069
1911,1,1,2070
1913,1,1,2071
1917,1,1,2072
1917edt,1,1,2073
1918,2,2,2074
1918edt,2,2,2076
1920,3,3,2078
1920edt,2,2,2081
1921,1,1,2083
1936,1,1,2084
194,1,1,2085
1941,6,6,2086
1942,6,6,2092
1943,7,7,2098
1946,2,2,2105
1948,1,1,2107
1949,2,2,2108
1950,1,1,2110
1951,2,2,2111
1952,1,1,2113
1952est,1,1,2114
1953,1,1,2115
1953est,1,1,2116
1960,14,13,2117
1961,1,1,2130
1964,1,1,2131
1965,1,1,2132
1966,9,6,2133
1967,1,1,2139
1968,1,1,2140
1970,6,6,2141
1972,1,1,2147
1973,13,10,2148
1974,2,2,2158
1975,8,8,2160
1976,12,9,2168
1978,9,9,2177
1979,8,8,2186
1980,17,12,2194
1981,3,3,2206
1982,2,2,2209
1983,6,6,2211
